smiles,logP,logP_class,image_path
COCC[NH+]1CCC[C@@H](CN(C)c2nc3c(s2)c(C)nn3C)C1,0.71572,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_47.png
CCc1cc([O-])nc(-n2[nH+]c(C(C)(C)C)cc2NC(=O)NCc2ccc(F)cc2)n1,2.4757,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_48.png
CC[NH2+][C@@]1(C(=O)OC)CCC[C@@H](Sc2nccc(C)n2)C1,1.31482,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_49.png
CC[C@@H]1CCC[NH+](Cc2coc(-c3ccc(S(C)(=O)=O)cc3)n2)C1,1.95,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_50.png
CC[C@H](CSC)N(C)C(=O)c1c(C)nn(CC)c1Cl,3.07842,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_51.png
COc1ccc(-c2csc(Cc3nc(-c4ccc(C(F)(F)F)cc4)no3)n2)cc1OC,5.4869,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_52.png
Cc1ccn(CCC(=O)N2CCCC[C@H]2c2cc[nH]n2)n1,2.05852,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_53.png
Cn1cc(C(=O)Nc2cccc(N3CCCCCC3)c2)c(C(C)(C)C)n1,4.3503,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_54.png
COc1ccc([C@@H]2CCCN2C(=O)C2CCN(c3nc4ccccc4o3)CC2)cc1OC,4.4251,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_55.png
NC(=O)[C@H]1Cc2ccccc2CN1C(=O)[C@@H]1Cc2ccccc2C(=O)O1,1.2069,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_56.png
COc1cccc([C@@H]2CCCN2C(=O)c2ccc([N+](=O)[O-])cc2F)c1,3.7198,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_57.png
COC(=O)C[C@H](NC(=O)[C@H]1CCCO1)c1ccc(C(C)C)cc1,2.7094,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_58.png
CC(C)[C@H](NC(=O)CS[C@H]1N=NNN1c1ccccc1F)C1[NH+]=c2ccccc2=[NH+]1,-1.8846,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_59.png
O=C(NCC(F)(F)F)C1CCN(C(=O)CN2C(=O)CCC2=O)CC1,0.0525,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_60.png
Nc1cc(Cl)ccc1C(=O)[C@@H]1CCOC2(CCC2)C1,3.4542,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_61.png
CCCC[C@]1(c2ccc(F)cc2)NC(=O)N(Cc2cc(=O)n3cccc(C)c3n2)C1=O,3.27952,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_62.png
O=c1cc([C@H]2CC[NH+](CC3=CCCOC3)C2)nc(-c2ccncc2)[nH]1,0.5508,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_63.png
NS(=O)(=O)c1ccc(NC(=O)C[C@@H]2CCCCO2)c(F)c1,1.3708,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_64.png
C[C@@H]1CC[NH+](Cc2ccc(N(C)CCC#N)cc2)[C@H](C)C1,2.23978,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_65.png
CCc1nnc(NC(=O)CS(=O)(=O)c2ccc(Br)c3ccccc23)s1,3.4286,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_66.png
O=C(CCNC(=O)c1ccc(F)cc1F)NC[C@@H](O)c1ccco1,1.5275,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_67.png
CN(C)S(=O)(=O)c1ccc(C(=O)N(Cc2ccccn2)c2nc3c(Cl)cccc3s2)cc1,4.442,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_68.png
O=C(N[C@@H](c1cccc(C(F)(F)F)c1)C1CC1)N1CCC[C@H]1CO,3.3228,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_69.png
Cc1cccc(/C=N/n2c(-c3cccc(OC(C)C)c3)n[nH]c2=S)c1,4.58551,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_70.png
Cn1c(Cn2cccn2)nnc1[C@@H]1CCCN(Cc2cccnc2)C1,1.8345,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_71.png
CCNC(=O)[C@H](C)NC(=O)/C=C/c1ccc(C(F)(F)F)cc1,2.3594,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_72.png
Cc1ccc(NC(=O)CNC(=O)[C@@H]2Cc3ccccc3C[NH2+]2)cc1,0.73802,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_73.png
C[C@]12CC[C@H]3[C@@H]4CCCC=C4CC[C@H]3[C@@H]1CCC2=O,4.5183,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_74.png
Cc1[nH+]cn(C[C@H](C)[NH2+]Cc2ccc(C(F)(F)F)cc2)c1C,2.0899400000000004,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_75.png
Cn1c(C(=O)N2CCN(S(C)(=O)=O)CC2)cc2sccc21,0.9572,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_76.png
C[C@@H](OC(=O)c1cc2cc(F)ccc2oc1=O)c1ccccc1N(C)C,3.9161,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_77.png
CCN(C[C@@H]1CCCO1)C(=O)C(C)(C)c1cccc(C#N)c1,2.86338,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_78.png
COc1ccccc1[C@H](NC(=O)Nc1cccc(C)c1C)c1ccccn1,4.61814,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_79.png
CCCNC(=O)[C@@H]1COC2(CCC(C)CC2)N1C(=O)CC(C)C,2.6925,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_80.png
C[C@H]1Cc2ccccc2N1C(=O)N[C@@H]1CCN(c2ccccc2)C1,3.4261,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_81.png
COc1ncccc1Cn1ccc(C(=O)[O-])n1,-0.3015,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_82.png
Cc1cccc(N2CC[NH+](CCCNc3cnccc3C#N)CC2)c1,1.4688,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_83.png
CCn1ncc(C(=O)NCC(C)(C)NS(C)(=O)=O)c1C(F)(F)F,0.9794,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_84.png
COc1ccc(N2C(=O)C([O-])=C(C(=O)c3ccc([N+](=O)[O-])cc3)[C@H]2c2ccccc2)cc1,3.1886,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_85.png
Cc1cc(C)c(NC(=O)[C@H]2CCC[NH+]2C23C[C@@H]4C[C@@H](CC(O)(C4)C2)C3)c(C)c1,2.68136,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_86.png
C[NH2+][C@@H](C1CCOCC1)C1(N2CCOCC2)CCCC1,0.6198,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_87.png
Cn1cc(N2CC[C@@H](NC(=O)N[C@H]3CC=CCC3)C2=O)cn1,0.9333,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_88.png
CNC(=O)c1ccc(S(=O)(=O)N(C)c2ccc(Cl)cn2)cc1,1.9197,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_89.png
CN(Cc1ccccc1Br)C(=O)Nc1ccn(Cc2ccccc2)n1,4.3578,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_90.png
CCc1ccc([C@H]([NH3+])CN2C[C@@H](CC)CC2=O)cc1,1.7905,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_91.png
C[C@@H]1[C@H](c2ccccc2)CC[NH+]1Cc1cnc(C2CC2)s1,2.9814,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_92.png
CCOC(=O)C1(C)CCN(c2ccc([N+](=O)[O-])c3cccnc23)CC1,3.3126,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_93.png
Cc1ccc(C(=O)N2CCN(C(=O)c3ccc(C)cc3O)[C@@H](C)C2)c(O)c1,2.70134,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_94.png
O=C(Nc1ccc(SC(F)F)cc1)N[C@@H](CO)Cc1ccccc1,3.7264,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_95.png
CC[NH2+][C@@H]1CCN(CC[C@@H]2CCCO2)[C@H](C)[C@@H]1C,1.2377,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_96.png
CC(=O)N1C=Cc2ccccc2[C@@H]1CC(=O)Nc1ccccc1,3.5893,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_97.png
Cc1onc(-c2ccccc2)c1C(=O)OCc1ccc(Cl)cc1,4.660419999999999,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_98.png
COC(=O)C1=C(C)N(c2cccc(Cl)c2)C(=O)/C1=C\c1cccc(Cl)c1,4.8706,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_99.png
COc1ccccc1C1CCN(S(=O)(=O)c2ccc(-c3csc(C)n3)s2)CC1,4.75692,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_100.png
CC(=O)c1ccccc1[N-]S(=O)(=O)c1cc([N+](=O)[O-])c(C)cc1F,3.63902,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_101.png
CCC[C@H](C(=O)NC[C@H](O)c1c(F)cccc1F)c1ccccc1,3.6983,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_102.png
O=c1cccc2n1C[C@@H]1C[C@H]2CN(c2nc(N3CCOCC3)nc(N3CCOCC3)n2)C1,0.3302,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_103.png
C[C@@H](Sc1nnc(-c2ccc3c(c2)OCCCO3)n1C1CC1)C(=O)[O-],1.6718,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_104.png
CCC(=O)N1CC[C@@H](C(=O)Nc2ccc3[nH]nc(C(N)=O)c3c2)C1,0.8588,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_105.png
N#CCCn1cc(/C=C/c2nc(-c3cnccn3)no2)c2ccccc21,3.56538,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_106.png
CC(C)N(Cc1cccc(Cl)c1)CN1C(=O)N[C@@]2(CCSC2)C1=O,2.9354,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_107.png
CCOC(=O)N1CCc2c(sc(NC(=O)C3CCC3)c2-c2nc3ccccc3s2)C1,5.278,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_108.png
COC(=O)[C@@H]1CCN(C(=O)[C@H]2CCSC2)C1,0.7609999999999999,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_109.png
Oc1cccnc1OC[C@H]1CCC[NH2+]C1,0.1394,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_110.png
C[C@@H](NC1CC[NH+](C(C)(C)C)CC1)c1nc(-c2ccccc2)cs1,3.3065,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_111.png
C[C@@H]1CCCC[C@@H]1NC(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,3.3728,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_112.png
COc1ccc2c(c1)C(=O)N(c1ccc(C)cc1C)C(=O)/C2=C/Nc1ccccc1OC,4.96064,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_113.png
COCCn1c(C)cc([O-])c([C@@H](c2ccccn2)N2CC[NH+](C)CC2)c1=O,-0.80858,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_114.png
Cn1cc(C[NH+](CCc2ccccn2)Cc2ccc(F)cc2)c(=O)n(C)c1=O,0.4459,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_115.png
C[C@@H]1O[C@]12C[C@@H](C)[C@@](C)(O)C(=O)OC/C1=C/CN(C)CC[C@@H](OC2=O)C1=O,0.2207,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_116.png
O=C(Nc1nccs1)c1ccc(-c2ccc(F)c(Cl)c2)o1,4.4479,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_117.png
CCOC[C@H]1CC[NH+](Cc2c[nH]c(C(=O)OC)c2)C1,0.2426,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_118.png
CCN(CC(C)(C)O)C(=O)c1cccc(Cl)c1,2.573,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_119.png
O=S(=O)(CCC1CC1)Oc1cccc(Br)c1,2.9578,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_120.png
COCCCNC(=O)[C@@H]1[C@@H](C(=O)[O-])[C@@H]2C=C[C@H]1C2,-0.6727,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_121.png
CCCOc1ccccc1NC(=O)[C@@H]1CCCCC[C@@H]1[NH3+],2.6047,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_122.png
C[C@@H](Cc1ccc(Cl)cc1)N(C)C(=O)Nc1nnc(C2CC2)s1,4.1638,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_123.png
CC1=C[C@@H](C(=O)N2CCO[C@@H](CC[NH+](C)C)C2)N=N1,-0.5134,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_124.png
Cc1ccc(CN(C(=O)Nc2ccccc2)[C@H]2CCS(=O)(=O)C2)cc1,3.21622,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_125.png
CC[C@@H]1CCCCCN1C(=O)NCc1cccc(NC(=O)N(C)C)c1,3.6443,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_126.png
CC(C)Cc1noc(C[NH2+][C@H](C)c2ccc(Cl)cc2Cl)n1,3.3995,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_127.png
CN(C)c1ccc(/C=C2/SC(=S)N(NC(N)=O)C2=O)cc1,1.5371,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_128.png
Cc1ccc2nc(N(C[C@@H]3CCCO3)C(=O)C(C)(C)C)sc2c1,4.16282,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_129.png
[NH3+]C[C@@]1([C@]2(O)CCC[C@@H](C3CC3)C2)CCOC1,0.9663,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_130.png
CCCNc1nc(C)cc(-c2cc(C)ccc2F)n1,3.72144,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_131.png
Cc1nnc(-c2cc(CC(C)C)n(-c3cccc(C(=O)N[C@@H]4C[C@@H](C)CC(C)(C)C4)c3)n2)o1,5.373819999999999,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_132.png
CCc1nc2n(n1)CCC[C@H]2NC(=O)N[C@H](C)[C@@H](C)c1ccccc1,3.1668,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_133.png
Cc1ccc(C(=O)[O-])cc1NC(=O)c1ccc(-c2cccc([N+](=O)[O-])c2)o1,2.77902,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_134.png
Clc1ccc([C@H]2NN=C(c3ccccc3)S2)c(Cl)c1,4.6902,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_135.png
CCCN1CC(=O)N(CC(=O)N2CCC(=O)CC2)CC1=O,-0.7413,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_136.png
Cc1c(NP(=O)(C(C)(C)C)C(C)(C)C)c(=O)n(-c2ccccc2)n1C,4.77142,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_137.png
Cc1ccccc1CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2nnc(C(C)C)s2)n1,3.63952,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_138.png
COc1ccc(/C=C2\SC(=O)N(CCOc3cccc(C)c3)C2=O)c(OC)c1,4.12752,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_139.png
C=CCN(CC=C)C(=O)N[C@@H]1CC[C@H](SCC)C1,3.0442,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_140.png
CC[S@@](=O)[C@@H]1CCCC[C@@H]1NC(=O)[C@@H]1C[C@@H]1c1ccccc1F,3.1252,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_141.png
CC(=O)[C@@H]1CC[C@H]2[C@H]3CC[C@H]4CCC(=O)C[C@]4(C)[C@@H]3CC[C@@]21C,4.8034,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_142.png
Cc1ccccc1/N=C1\S[C@H](CC(=O)Nc2cccc(Cl)c2C)C(=O)N1Cc1ccccn1,5.51234,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_143.png
O=C(OCc1ncc(-c2ccccc2)o1)C1CCN(CC(F)(F)F)CC1,3.6591,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_144.png
CC[C@@H](NC(=O)NC1CC[NH+](CC(N)=O)CC1)c1cc(F)ccc1F,0.2477,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_145.png
COc1ccc(CNc2ccncc2[N+](=O)[O-])cc1,2.6105,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_146.png
CC(C)Cn1cc(NC(=O)c2cccnc2[S-])cn1,2.0922,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_147.png
COc1cccc(-c2noc(CNc3cc(NC(C)=O)ccc3F)n2)c1,3.4548,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_148.png
CCCc1nc(C(=O)Nc2c(Cl)ccc3scnc23)n[nH]1,3.2726,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_149.png
CC(C)CC(=O)Nc1nnc(SCC(=O)Nc2ccc(Br)cc2)s1,4.016,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_150.png
C[C@H]1OCC[C@@H]1C(=O)N1CCC[C@@H]1C[C@H](O)c1ccc(F)cc1,2.6652,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_151.png
CCOc1ccc(C(=O)N(C)CC2=NC(=O)[C@@H]3SC=CC3=N2)cc1,2.1661,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_152.png
CCN(C(=O)C(=O)NCCCc1ccccc1)c1cccc(F)c1,2.9276,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_153.png
COc1ccc([C@@H](NCc2cccnc2-n2cncn2)C2CC2)cc1,2.9118,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_154.png
CSc1nnc(CCNC(=O)c2ccc(-n3cccn3)cc2)n1-c1ccc(F)cc1,3.2865,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_155.png
COc1c([C@H](O)c2cncnc2)c(C)nn1C,0.60882,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_156.png
C[C@@H](c1cscc1Br)[C@@H](C)Cl,4.2414,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_157.png
CCc1nc(-c2csc(S(=O)(=O)N3CCC[C@H](C(=O)NC4CCCC4)C3)c2)no1,2.82,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_158.png
O=C(NCC1(c2ccccc2)CCOCC1)[C@H]1C[C@@H]1c1ccccc1,3.6547,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_159.png
CCN(C[C@@H]1COc2ccccc2O1)C(=O)c1cccc(-n2cnnn2)c1,1.9644,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_160.png
CCOc1ccc([C@H]2NC(=O)C3=NN=C(c4ccc(OC)cc4)[C@@H]32)cc1,2.7399,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_161.png
