smiles,logP,qed,SAS,logP_class,images
CCC[NH+]1CC2(CC[NH+](C)CC2)C[C@H]1C(=O)N1CCc2n[nH]cc2C1,-1.3435,0.6697838344479999,6.24788181363092,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD36B250>
CCOC[C@H]1CCCN(C(=O)[C@@H](c2ccccc2)[C@@H](C)CC)C1,4.0914,0.72949643481,3.1356936071202437,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD369F90>
Cc1ccc(C(=O)Oc2ccc(N3C(=O)CCC3=O)c(C)c2)cc1,3.17604,0.487191723919,2.0105652953792266,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDD8239150>
CCc1nn(C)cc1NC(=O)N[C@@H]1CCC[C@H]1Cc1ccccc1,3.5154,0.862846823327,3.1559779526654035,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD369590>
Cc1ccc([C@H](C[NH3+])S(=O)(=O)c2ccc(F)cc2)cc1,1.89102,0.8807814516429999,2.896256348828277,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57D5F5D0>
COc1ccccc1NC(=O)Nc1ccc(CN2CCN(c3cccc[nH+]3)CC2)cc1,3.4755,0.629019724317,2.714520947896564,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEDE10>
CN1C(=O)CN(S(C)(=O)=O)C[C@@]1(C)C(=O)NCC(=O)NCc1ccccc1,-1.0887,0.667199459736,2.9266199705866747,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEFF90>
C[C@H](OC(=O)c1cccc(O)c1)C(=O)N1CCNC1=O,0.4893,0.8002954733650001,2.64574418099611,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEF4D0>
COC(=O)/C=C1/S/C(=N\c2ccc(C(=O)[O-])cc2)N(Cc2ccc(F)cc2)C1=O,2.0092,0.5520573468550001,2.762218767675071,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57D70ED0>
O=[N+]([O-])c1ccc2[nH]nc(OCc3ccc(Cl)cc3)c2c1,3.7035,0.5718853411429999,2.172237466586015,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57D84990>
Cc1ccc(S(=O)(=O)N2CC[NH+](CC(=O)N/N=C\c3cccn3C)CC2)cc1,-0.62698,0.5176110985100001,3.440233250602292,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDED710>
Cc1ccc(N2CCCC2=O)c(C(=O)Nc2cccc3cn[nH]c23)c1,3.25042,0.759144260802,2.3052493130997185,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEC650>
CSc1ccc([C@H]2C(C(=O)OC[C@H]3CCCO3)=C(C)NC3=C2C(=O)CCC3)cc1,4.0986,0.557497712097,3.314276000808692,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEC6E550>
C[NH2+][C@@H](c1ccsc1)[C@@H]1C[NH+](C)CCN1C,-1.1889,0.720414344329,5.872739232571663,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEDD90>
O=C(CNC(=O)C1CCCC1)NCC1(CN2CCOCC2)CCCCC1,1.6917,0.726062743681,2.4261193680061712,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEC6FA10>
CC(=O)c1cccc(NC(=O)[C@@H](OC(=O)[C@@]2(C)CC2(Cl)Cl)c2ccccc2)c1,4.6961,0.3994715883560001,3.0207780673919133,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD2F6D90>
COC(=O)c1cccc(C(=O)N2C[C@H](C)S[C@@H](C)C2)n1,1.8342,0.784151575834,3.233388022206076,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD2F7B50>
COc1ccc([C@@H]2C[C@H](c3ccc(Cl)cc3)N(C(=O)C(C)C)c3ncnn32)cc1,4.6635,0.599210247738,3.187272775148076,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEEDD0>
CS[C@@H](C)C[NH2+][C@@H](C)c1ccc(-n2cncn2)cc1Cl,2.2966,0.8917271641060001,4.225365279948333,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEF2D0>
Cc1[nH]c2ccccc2c1CC(=O)OC[C@@H]1CN(CC(C)C)CCO1,2.91882,0.8117860430600001,2.8489365389486547,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEDF90>
CC[NH2+]C/C=C/c1ccc(C(=O)OC)o1,0.6627,0.583842311795,3.648868283639082,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEDD50>
O=C1OC(c2ccc(Br)o2)=N/C1=C/c1coc2ccc(Cl)cc2c1=O,4.1464,0.441765286057,2.8401894810303787,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFE8BA890>
CN(CC[NH+]1CCCC1)[C@@H](C(=O)Nc1ccccc1)c1ccccc1,1.9769,0.814253140353,3.529460734914757,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD2F5910>
O=C(Nc1cccc(-c2nnco2)c1)N1CCCCC[C@@H]1c1ccncc1,4.2808,0.719919637457,2.831093648141996,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFE8B8950>
COC[C@@H](C)N1CCN(C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)CC1,1.8688,0.663260590173,2.78923342797512,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFE8B8FD0>
C[NH+](CCN1CCCC1=O)CC1=Cc2cc(Cl)ccc2OC1,1.2529,0.8959388036720001,3.9771473072269945,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFE8BA510>
CC(C)N(C)S(=O)(=O)c1ccc(C(=O)Nc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1,2.789,0.594378773876,2.43817866547286,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFE8BB390>
CN(C)c1ccc([C@@H](CNC(=O)C23CC4CC(CC(C4)C2)C3)[NH+]2CCCC2)cc1,2.805,0.7708864259389999,5.069319317125621,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57CCB550>
Cc1cscc1[C@H]([NH3+])[C@@H]1CCOC2(CCSCC2)C1,3.03192,0.90087803234,5.16828745804173,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57D72B10>
CC[C@H]1CN(C(=O)CCc2nc(C(C)(C)C)no2)CC[C@@H]1c1ccccc1,4.342,0.753492139577,3.163799521004517,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFE8B9BD0>
COCC[NH+]1CCC[C@@H](CN(C)c2nc3c(s2)c(C)nn3C)C1,0.71572,0.857545828007,4.700165888976207,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFE8BB7D0>
CCc1cc([O-])nc(-n2[nH+]c(C(C)(C)C)cc2NC(=O)NCc2ccc(F)cc2)n1,2.4757,0.670316301859,3.639982095759507,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57CC2150>
CC[NH2+][C@@]1(C(=O)OC)CCC[C@@H](Sc2nccc(C)n2)C1,1.31482,0.663299811939,4.4422845233165,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDD76D0>
CC[C@@H]1CCC[NH+](Cc2coc(-c3ccc(S(C)(=O)=O)cc3)n2)C1,1.95,0.901089624359,4.148190061656157,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDD6210>
CC[C@H](CSC)N(C)C(=O)c1c(C)nn(CC)c1Cl,3.07842,0.800583323662,3.3499043221361835,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDD4B90>
COc1ccc(-c2csc(Cc3nc(-c4ccc(C(F)(F)F)cc4)no3)n2)cc1OC,5.4869,0.378263792124,2.362519263042957,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDD4F10>
Cc1ccn(CCC(=O)N2CCCC[C@H]2c2cc[nH]n2)n1,2.05852,0.939851850419,3.3745093647437105,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEC6D450>
Cn1cc(C(=O)Nc2cccc(N3CCCCCC3)c2)c(C(C)(C)C)n1,4.3503,0.853920418696,2.2440480353013843,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEEC50>
COc1ccc([C@@H]2CCCN2C(=O)C2CCN(c3nc4ccccc4o3)CC2)cc1OC,4.4251,0.56548137856,2.7807779646800608,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE55E6DC90>
NC(=O)[C@H]1Cc2ccccc2CN1C(=O)[C@@H]1Cc2ccccc2C(=O)O1,1.2069,0.8345607841699999,3.1068736799902616,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDD6ED0>
COc1cccc([C@@H]2CCCN2C(=O)c2ccc([N+](=O)[O-])cc2F)c1,3.7198,0.6081175342840001,2.507531449953144,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDD6610>
COC(=O)C[C@H](NC(=O)[C@H]1CCCO1)c1ccc(C(C)C)cc1,2.7094,0.815121396467,2.867384587201059,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD2F68D0>
CC(C)[C@H](NC(=O)CS[C@H]1N=NNN1c1ccccc1F)C1[NH+]=c2ccccc2=[NH+]1,-1.8846,0.439838974099,4.953604714586167,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDD4DD0>
O=C(NCC(F)(F)F)C1CCN(C(=O)CN2C(=O)CCC2=O)CC1,0.0525,0.747175454224,2.3226093720373555,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDD74D0>
Nc1cc(Cl)ccc1C(=O)[C@@H]1CCOC2(CCC2)C1,3.4542,0.652048508633,3.488461471429998,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEFA90>
CCCC[C@]1(c2ccc(F)cc2)NC(=O)N(Cc2cc(=O)n3cccc(C)c3n2)C1=O,3.27952,0.607788469806,3.0599367479965576,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEF390>
O=c1cc([C@H]2CC[NH+](CC3=CCCOC3)C2)nc(-c2ccncc2)[nH]1,0.5508,0.81380702417,4.723158004665822,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDD6390>
NS(=O)(=O)c1ccc(NC(=O)C[C@@H]2CCCCO2)c(F)c1,1.3708,0.885563401624,2.5501464260995377,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD3872D0>
C[C@@H]1CC[NH+](Cc2ccc(N(C)CCC#N)cc2)[C@H](C)C1,2.23978,0.902093021379,4.505577532805436,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD387350>
CCc1nnc(NC(=O)CS(=O)(=O)c2ccc(Br)c3ccccc23)s1,3.4286,0.643348271788,2.407326840572248,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD384510>
O=C(CCNC(=O)c1ccc(F)cc1F)NC[C@@H](O)c1ccco1,1.5275,0.720595140433,2.6232412710058166,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD3863D0>
CN(C)S(=O)(=O)c1ccc(C(=O)N(Cc2ccccn2)c2nc3c(Cl)cccc3s2)cc1,4.442,0.384663120756,2.367194050088244,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57C4EC50>
O=C(N[C@@H](c1cccc(C(F)(F)F)c1)C1CC1)N1CCC[C@H]1CO,3.3228,0.8660618756280001,3.084630765070392,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD2F7890>
Cc1cccc(/C=N/n2c(-c3cccc(OC(C)C)c3)n[nH]c2=S)c1,4.58551,0.515976477195,2.3956070324930017,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57C0DA90>
Cn1c(Cn2cccn2)nnc1[C@@H]1CCCN(Cc2cccnc2)C1,1.8345,0.715430524551,2.9600794630211578,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57D67450>
CCNC(=O)[C@H](C)NC(=O)/C=C/c1ccc(C(F)(F)F)cc1,2.3594,0.8205365489740001,2.529480665394251,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD2F7450>
Cc1ccc(NC(=O)CNC(=O)[C@@H]2Cc3ccccc3C[NH2+]2)cc1,0.73802,0.789023047246,3.2193833665481737,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57CD6310>
C[C@]12CC[C@H]3[C@@H]4CCCC=C4CC[C@H]3[C@@H]1CCC2=O,4.5183,0.5583228338690001,3.9926759895102606,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD386BD0>
Cc1[nH+]cn(C[C@H](C)[NH2+]Cc2ccc(C(F)(F)F)cc2)c1C,2.0899400000000004,0.881066474251,4.537472581952269,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDD5650>
Cn1c(C(=O)N2CCN(S(C)(=O)=O)CC2)cc2sccc21,0.9572,0.8371751814630001,2.3831990580979507,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD385410>
C[C@@H](OC(=O)c1cc2cc(F)ccc2oc1=O)c1ccccc1N(C)C,3.9161,0.506955324621,2.8306710219214803,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD384B10>
CCN(C[C@@H]1CCCO1)C(=O)C(C)(C)c1cccc(C#N)c1,2.86338,0.833608837361,2.924388092671059,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD387410>
COc1ccccc1[C@H](NC(=O)Nc1cccc(C)c1C)c1ccccn1,4.61814,0.6661495584179999,2.531519342447691,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD384F10>
CCCNC(=O)[C@@H]1COC2(CCC(C)CC2)N1C(=O)CC(C)C,2.6925,0.842040548831,3.6581437170103537,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD385110>
C[C@H]1Cc2ccccc2N1C(=O)N[C@@H]1CCN(c2ccccc2)C1,3.4261,0.90077721187,2.7898215742611985,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD384050>
COc1ncccc1Cn1ccc(C(=O)[O-])n1,-0.3015,0.747822735632,2.772406966455941,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD3851D0>
Cc1cccc(N2CC[NH+](CCCNc3cnccc3C#N)CC2)c1,1.4688,0.792371731516,3.507197073900562,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD36B490>
CCn1ncc(C(=O)NCC(C)(C)NS(C)(=O)=O)c1C(F)(F)F,0.9794,0.8059867708249999,2.7496299946165976,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFE8B97D0>
COc1ccc(N2C(=O)C([O-])=C(C(=O)c3ccc([N+](=O)[O-])cc3)[C@H]2c2ccccc2)cc1,3.1886,0.332907514171,2.916190967161448,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD385890>
Cc1cc(C)c(NC(=O)[C@H]2CCC[NH+]2C23C[C@@H]4C[C@@H](CC(O)(C4)C2)C3)c(C)c1,2.68136,0.748587788615,6.04719017276986,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFFECB7D0>
C[NH2+][C@@H](C1CCOCC1)C1(N2CCOCC2)CCCC1,0.6198,0.8370959530069999,4.128302308292542,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFFECAE90>
Cn1cc(N2CC[C@@H](NC(=O)N[C@H]3CC=CCC3)C2=O)cn1,0.9333,0.827540825508,3.5618626769084885,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFFECB3D0>
CNC(=O)c1ccc(S(=O)(=O)N(C)c2ccc(Cl)cn2)cc1,1.9197,0.928007655863,2.107154126417525,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFFECAC50>
CN(Cc1ccccc1Br)C(=O)Nc1ccn(Cc2ccccc2)n1,4.3578,0.664206469459,2.1205954669458715,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFFECA4D0>
CCc1ccc([C@H]([NH3+])CN2C[C@@H](CC)CC2=O)cc1,1.7905,0.8689948076459999,3.633862988520973,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57C69A10>
C[C@@H]1[C@H](c2ccccc2)CC[NH+]1Cc1cnc(C2CC2)s1,2.9814,0.909293442623,4.424972334780343,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFFECA910>
CCOC(=O)C1(C)CCN(c2ccc([N+](=O)[O-])c3cccnc23)CC1,3.3126,0.472330353659,2.5404220054074127,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57DA1D90>
Cc1ccc(C(=O)N2CCN(C(=O)c3ccc(C)cc3O)[C@@H](C)C2)c(O)c1,2.70134,0.850191120105,2.658298887227236,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFFEC8190>
O=C(Nc1ccc(SC(F)F)cc1)N[C@@H](CO)Cc1ccccc1,3.7264,0.6467010769129999,2.5265243364478387,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE04C0C450>
CC[NH2+][C@@H]1CCN(CC[C@@H]2CCCO2)[C@H](C)[C@@H]1C,1.2377,0.810164368478,4.7328779659322855,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFFEC9A50>
CC(=O)N1C=Cc2ccccc2[C@@H]1CC(=O)Nc1ccccc1,3.5893,0.918413570228,2.577204382354731,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFFEC8F50>
Cc1onc(-c2ccccc2)c1C(=O)OCc1ccc(Cl)cc1,4.660419999999999,0.624870239583,1.8489097030437645,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE04C904D0>
COC(=O)C1=C(C)N(c2cccc(Cl)c2)C(=O)/C1=C\c1cccc(Cl)c1,4.8706,0.532668415476,2.273821797155969,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFFEC8890>
COc1ccccc1C1CCN(S(=O)(=O)c2ccc(-c3csc(C)n3)s2)CC1,4.75692,0.555381388134,2.383928313893432,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57CB2D90>
CC(=O)c1ccccc1[N-]S(=O)(=O)c1cc([N+](=O)[O-])c(C)cc1F,3.63902,0.45186575552,3.215677275143864,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFFECB050>
CCC[C@H](C(=O)NC[C@H](O)c1c(F)cccc1F)c1ccccc1,3.6983,0.789116809077,2.887680373670745,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDD84CA610>
O=c1cccc2n1C[C@@H]1C[C@H]2CN(c2nc(N3CCOCC3)nc(N3CCOCC3)n2)C1,0.3302,0.686516444178,4.191047484210712,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDD84CAD90>
C[C@@H](Sc1nnc(-c2ccc3c(c2)OCCCO3)n1C1CC1)C(=O)[O-],1.6718,0.755505459433,3.202243581202177,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57D5D090>
CCC(=O)N1CC[C@@H](C(=O)Nc2ccc3[nH]nc(C(N)=O)c3c2)C1,0.8588,0.781833028591,2.7573464374811345,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD2CFE50>
N#CCCn1cc(/C=C/c2nc(-c3cnccn3)no2)c2ccccc21,3.56538,0.536939276704,2.8049261927603646,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDD84CA410>
CC(C)N(Cc1cccc(Cl)c1)CN1C(=O)N[C@@]2(CCSC2)C1=O,2.9354,0.8055334292949999,3.6153287276886665,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD2CED90>
CCOC(=O)N1CCc2c(sc(NC(=O)C3CCC3)c2-c2nc3ccccc3s2)C1,5.278,0.576822078654,2.497414104294542,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEC950>
COC(=O)[C@@H]1CCN(C(=O)[C@H]2CCSC2)C1,0.7609999999999999,0.6830700743629999,3.1375379049601726,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE0543E110>
Oc1cccnc1OC[C@H]1CCC[NH2+]C1,0.1394,0.763562813667,4.244797028884115,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD2CCB10>
C[C@@H](NC1CC[NH+](C(C)(C)C)CC1)c1nc(-c2ccccc2)cs1,3.3065,0.8753924271269999,3.8174073681220464,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD2CD850>
C[C@@H]1CCCC[C@@H]1NC(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,3.3728,0.8946147730159999,2.626028661454788,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEFAD0>
COc1ccc2c(c1)C(=O)N(c1ccc(C)cc1C)C(=O)/C2=C/Nc1ccccc1OC,4.96064,0.440091128265,2.2732878962420897,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57D70A10>
COCCn1c(C)cc([O-])c([C@@H](c2ccccn2)N2CC[NH+](C)CC2)c1=O,-0.80858,0.751413191837,4.312322757453736,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEEE10>
Cn1cc(C[NH+](CCc2ccccn2)Cc2ccc(F)cc2)c(=O)n(C)c1=O,0.4459,0.6579074918760001,3.7063242475197047,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEDEED50>
C[C@@H]1O[C@]12C[C@@H](C)[C@@](C)(O)C(=O)OC/C1=C/CN(C)CC[C@@H](OC2=O)C1=O,0.2207,0.480832165285,6.280540187665932,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57C14F10>
O=C(Nc1nccs1)c1ccc(-c2ccc(F)c(Cl)c2)o1,4.4479,0.741389171348,2.1637936204321697,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE55D6AC50>
